date,actual_close,predicted_close
2026-03-12,1.3846490383148193,1.3844563
2026-03-13,1.398908019065857,1.3839698
2026-03-14,1.4072690010070803,1.3844653
2026-03-15,1.4475510120391846,1.3859676
2026-03-16,1.543565034866333,1.3895906
2026-03-17,1.5185439586639407,1.3980576
2026-03-18,1.46385395526886,1.4089559
2026-03-19,1.447322964668274,1.4193474
2026-03-20,1.4454610347747805,1.4283761
2026-03-21,1.4065760374069216,1.4359632
2026-03-22,1.3848830461502077,1.4408083
2026-03-23,1.4318779706954956,1.4426632
2026-03-24,1.4154239892959597,1.4438848
2026-03-25,1.4142379760742188,1.444022
2026-03-26,1.3601139783859253,1.4433361
2026-03-27,1.3250139951705935,1.4401677
2026-03-28,1.332800030708313,1.4340373
2026-03-29,1.3272759914398193,1.4262004
2026-03-30,1.3225829601287844,1.4171853
2026-03-31,1.3402589559555056,1.4074674
2026-04-01,1.3477660417556765,1.3982174
2026-04-02,1.3186910152435305,1.3899285
2026-04-03,1.317906975746155,1.3816347
2026-04-04,1.315574049949646,1.3736097
2026-04-05,1.3254959583282473,1.3659784
2026-04-06,1.3212209939956665,1.3592561
2026-04-07,1.3814899921417236,1.3532902
2026-04-08,1.342373013496399,1.3502293
2026-04-09,1.3441439867019653,1.3480502
2026-04-10,1.3566060066223145,1.346663
2026-04-11,1.3554489612579346,1.3463322
2026-04-12,1.324998021125794,1.3467404
2026-04-13,1.3766659498214724,1.3465886
2026-04-14,1.3618279695510866,1.347837
2026-04-15,1.3916670083999634,1.3495439
2026-04-16,1.4526350498199465,1.3525876
2026-04-17,1.4770499467849734,1.3586721
2026-04-18,1.434682965278626,1.3676751
2026-04-19,1.3946529626846311,1.3770397
2026-04-20,1.4248709678649905,1.3849102
2026-04-21,1.4318250417709353,1.3924253
2026-04-22,1.430027961730957,1.3996317
2026-04-23,1.4390619993209843,1.4062876
2026-04-24,1.43367600440979,1.4126191
2026-04-25,1.424219012260437,1.4182994
2026-04-26,1.4315749406814575,1.4229672
2026-04-27,1.400905966758728,1.4269828
2026-04-28,1.380664944648743,1.4292941
2026-04-29,1.3692519664764407,1.4295493
2026-04-30,1.3674299716949463,1.4278667
2026-05-01,1.384695053100586,1.4247462
2026-05-02,1.3931519985198977,1.4212927
2026-05-03,1.387578010559082,1.4180341
2026-05-04,1.3919589519500732,1.4148629
2026-05-05,1.4131489992141724,1.412042
2026-05-06,1.4247200489044192,1.4103421
2026-05-07,1.387125015258789,1.4099544
2026-05-08,1.4182850122451784,1.4092336
2026-05-09,1.4201070070266724,1.4093891
2026-05-10,1.4728070497512815,1.4102443
2026-05-11,1.4768160581588745,1.4134514
2026-05-12,1.436100959777832,1.4184359
2026-05-13,1.4263459444046023,1.4231291
2026-05-14,1.484110951423645,1.4270792
2026-05-15,1.4337309598922732,1.4323533
2026-05-16,1.4140360355377195,1.4366342
2026-05-17,1.4009430408477783,1.4393281
2026-05-18,1.3891990184783938,1.440268
2026-05-19,1.3605870008468628,1.4394468
2026-05-20,1.3653680086135866,1.4363331
2026-05-21,1.372087001800537,1.4317993
2026-05-22,1.3337039947509766,1.426617
2026-05-23,1.3574939966201782,1.4197943
2026-05-24,1.3500330448150637,1.4128534
2026-05-25,1.3493850231170657,1.4058151
2026-05-26,1.3276610374450686,1.3989483
2026-05-27,1.306151032447815,1.3916916
2026-05-28,1.31352698802948,1.3836421
2026-05-29,1.3283269405364992,1.3755434
2026-05-30,1.3383380174636843,1.3682144
2026-05-31,1.3313210010528564,1.362075
2026-06-01,1.2948789596557615,1.3567929
2026-06-02,1.2098939418792727,1.3510407
2026-06-03,1.2002509832382202,1.3421082
2026-06-04,1.166646957397461,1.3307487
2026-06-05,1.0964360237121582,1.3167546
2026-06-06,1.09345805644989,1.2987797
2026-06-07,1.1546510457992554,1.2783533
2026-06-08,1.168192982673645,1.2589889
2026-06-09,1.1372519731521606,1.2415988
2026-06-10,1.09723699092865,1.2252247
2026-06-11,1.1415859460830688,1.2087697
2026-06-12,1.1320589780807495,1.1943933
2026-06-13,1.1500450372695925,1.1817193
2026-06-14,1.1858290433883667,1.1713909
2026-06-15,1.2382129430770874,1.1644313
2026-06-16,1.2159889936447146,1.1620792
2026-06-17,1.1850850582122805,1.1624535
2026-06-18,1.1454219818115234,1.1637268
2026-06-19,1.1363840103149414,1.1641653
2026-06-20,1.1490520238876345,1.163584
2026-06-21,1.1244189739227295,1.1626639
2026-06-22,1.1286309957504272,1.1606227
2026-06-23,1.109410047531128,1.1579503
2026-06-24,1.0722600221633911,1.1542082
2026-06-25,1.0416409969329834,1.1484741
2026-06-26,1.0471190214157104,1.1403567
2026-06-27,1.0464279651641846,1.1309303
2026-06-28,1.0475759506225586,1.1208363
2026-06-29,1.0572710037231443,1.1106528
2026-06-30,1.0384299755096436,1.1011193
2026-07-01,1.0521479845046997,1.091751
2026-07-02,1.0864959955215454,1.0833267
2026-07-03,1.1339329481124878,1.0771232
2026-07-04,1.1567870378494265,1.074488
2026-07-05,1.1558929681777954,1.0754374
2026-07-06,1.1437979936599731,1.0790058
2026-07-07,1.111780047416687,1.0839615
2026-07-08,1.089972972869873,1.08861
2026-07-09,1.093337059020996,1.0920457
2026-07-10,1.103922963142395,1.09453
2026-07-11,1.0975810289382937,1.096566
2026-07-12,1.085737943649292,1.0979632
2026-07-13,1.0654799938201904,1.0984135
2026-07-14,1.1111199855804443,1.09742
2026-07-15,1.112766981124878,1.0970014
2026-07-16,1.0862890481948853,1.0971018
2026-07-17,1.0886249542236328,1.0966673
2026-07-18,1.092157006263733,1.095935
2026-07-19,1.0959210395812988,1.0951313
2026-07-20,1.1121129989624023,1.0944405
2026-07-21,1.1424729824066162,1.0944387
2026-07-22,1.1416139602661133,1.0960383
2026-07-23,1.1068830490112305,1.0987625
2026-07-24,1.0909299850463867,1.1010051
2026-07-25,1.0973279476165771,1.1022284
2026-07-26,1.1116650104522705,1.1028544
2026-07-27,1.0652650594711304,1.1035117
2026-07-28,1.067958950996399,1.1025255
2026-07-29,1.0728590488433838,1.1004349
2026-07-30,1.0838249921798706,1.0977613
2026-07-31,1.060534954071045,1.0951418
2026-08-01,1.059743046760559,1.0918406
2026-08-02,1.0846099853515625,1.0881232
2026-08-03,1.0746320486068726,1.0851098
2026-08-04,1.0732090473175049,1.0823851
2026-08-05,1.0610140562057495,1.079928
2026-08-06,1.0336660146713257,1.0773239
2026-08-07,1.021237015724182,1.0737242
2026-08-08,1.03861403465271,1.0690513
2026-08-09,1.0289150476455688,1.0643437
2026-08-10,1.0115309953689575,1.0594313
2026-08-11,1.0218820571899414,1.0539232
2026-08-12,1.0043740272521973,1.048526
2026-08-13,1.0081249475479126,1.042779
2026-08-14,0.9980379939079284,1.0371019
2026-08-15,1.0013999938964844,1.0313151
2026-08-16,0.9919729828834533,1.0257639
2026-08-17,1.0026190280914309,1.0202458
2026-08-18,0.9965999722480774,1.015317
