date,actual_close,predicted_close
2026-03-27,613.2924194335938,710.4888
2026-03-28,610.7012329101562,708.4769
2026-03-29,605.6762084960938,705.8973
2026-03-30,608.5535278320314,702.8214
2026-03-31,617.0491943359375,699.58484
2026-04-01,610.6229858398438,696.6402
2026-04-02,583.1368408203125,693.8254
2026-04-03,588.1000366210938,690.2922
2026-04-04,593.28369140625,686.479
2026-04-05,601.5355834960938,682.7684
2026-04-06,600.3857421875,679.55237
2026-04-07,620.898681640625,676.7955
2026-04-08,601.1722412109375,675.1611
2026-04-09,602.8275146484375,673.78143
2026-04-10,605.9915161132812,672.66
2026-04-11,607.3914184570312,671.85846
2026-04-12,592.2140502929689,671.36005
2026-04-13,615.05126953125,670.5888
2026-04-14,614.0372314453125,670.3739
2026-04-15,622.6653442382812,670.5666
2026-04-16,635.5833740234375,671.33936
2026-04-17,643.4501342773438,672.94965
2026-04-18,630.3224487304688,675.3941
2026-04-19,616.5244750976562,677.9324
2026-04-20,629.2551879882812,679.9576
2026-04-21,631.7921752929688,681.9166
2026-04-22,637.9317626953125,683.8477
2026-04-23,638.7262573242188,685.8974
2026-04-24,636.4029541015625,687.9981
2026-04-25,628.6572875976562,689.98737
2026-04-26,636.1114501953125,691.5634
2026-04-27,626.9642333984375,693.0139
2026-04-28,624.31103515625,694.0282
2026-04-29,617.3297729492188,694.5892
2026-04-30,615.0667114257812,694.5643
2026-05-01,615.3310546875,694.02985
2026-05-02,617.82763671875,693.15216
2026-05-03,617.4823608398438,692.14667
2026-05-04,622.6590576171875,691.08655
2026-05-05,630.3912353515625,690.20593
2026-05-06,647.57373046875,689.7607
2026-05-07,637.02197265625,690.2395
2026-05-08,649.0093383789062,691.05945
2026-05-09,649.7373657226561,692.4813
2026-05-10,663.6634521484374,694.325
2026-05-11,669.9736328125,696.866
2026-05-12,664.5411376953125,700.04645
2026-05-13,671.3828125,703.4032
2026-05-14,677.9397583007812,706.9735
2026-05-15,672.111328125,710.7847
2026-05-16,656.2160644531249,714.4437
2026-05-17,648.7941284179688,717.3205
2026-05-18,643.0562133789062,719.2437
2026-05-19,639.4500122070312,720.19336
2026-05-20,648.8192749023438,720.2715
2026-05-21,657.349853515625,720.02246
2026-05-22,649.4689331054688,719.85455
2026-05-23,655.7096557617188,719.5262
2026-05-24,656.0982666015625,719.30194
2026-05-25,662.3038330078125,719.1916
2026-05-26,655.5963745117188,719.38086
2026-05-27,648.1592407226562,719.5744
2026-05-28,637.4937744140625,719.51013
