date,actual_close,predicted_close
2026-03-12,2073.13623046875,2035.972
2026-03-13,2092.5634765625,2046.4503
2026-03-14,2097.086669921875,2061.1663
2026-03-15,2177.476318359375,2077.0437
2026-03-16,2351.176025390625,2101.267
2026-03-17,2318.053466796875,2148.2166
2026-03-18,2203.671630859375,2198.2712
2026-03-19,2137.423828125,2229.8096
2026-03-20,2146.4970703125,2238.7224
2026-03-21,2076.68994140625,2234.6594
2026-03-22,2053.04833984375,2215.0469
2026-03-23,2152.14599609375,2186.118
2026-03-24,2155.704345703125,2167.288
2026-03-25,2168.021484375,2156.7532
2026-03-26,2059.578369140625,2153.7178
2026-03-27,1991.2719726562502,2142.3225
2026-03-28,1992.6945800781248,2119.5757
2026-03-29,1982.5596923828125,2093.4922
2026-03-30,2023.5148925781248,2067.5813
2026-03-31,2104.708251953125,2049.917
2026-04-01,2138.737060546875,2048.809
2026-04-02,2056.8525390625,2061.5342
2026-04-03,2053.38525390625,2070.9795
2026-04-04,2065.3515625,2077.1296
2026-04-05,2108.99560546875,2082.1494
2026-04-06,2107.761474609375,2091.1562
2026-04-07,2241.806640625,2101.1758
2026-04-08,2190.33544921875,2126.6487
2026-04-09,2189.14404296875,2151.529
2026-04-10,2245.148681640625,2172.8284
2026-04-11,2285.39013671875,2196.1543
2026-04-12,2192.201171875,2222.476
2026-04-13,2370.71484375,2235.6858
2026-04-14,2323.30859375,2261.5293
2026-04-15,2359.43701171875,2285.1646
2026-04-16,2348.64501953125,2308.9124
2026-04-17,2421.07177734375,2328.1875
2026-04-18,2351.1005859375,2351.2698
2026-04-19,2264.9169921875,2364.6484
2026-04-20,2315.21240234375,2360.141
2026-04-21,2327.970458984375,2352.273
2026-04-22,2376.088134765625,2344.8032
2026-04-23,2331.513916015625,2344.2703
2026-04-24,2315.690185546875,2342.0928
2026-04-25,2318.8291015625,2337.3584
2026-04-26,2369.72900390625,2332.172
2026-04-27,2303.06396484375,2333.6274
2026-04-28,2289.419677734375,2330.4028
2026-04-29,2253.415771484375,2323.3977
2026-04-30,2256.251220703125,2310.7722
2026-05-01,2295.09375,2296.9817
2026-05-02,2316.23193359375,2289.0273
2026-05-03,2321.6357421875,2287.95
2026-05-04,2346.39697265625,2291.6118
2026-05-05,2361.1826171875,2300.6064
2026-05-06,2350.802001953125,2313.3467
2026-05-07,2291.107666015625,2325.361
