date,actual_close,predicted_close
2026-03-12,1.0000499486923218,1.0000582
2026-03-13,1.0001239776611328,1.0000635
2026-03-14,1.0000909566879272,1.0000705
2026-03-15,1.0000979900360107,1.0000657
2026-03-16,1.0000050067901611,1.0000598
2026-03-17,1.0001490116119385,1.0000317
2026-03-18,0.9999390244483948,1.0000414
2026-03-19,1.000067949295044,1.0000064
2026-03-20,1.0000200271606443,1.000002
2026-03-21,0.9998170137405396,0.99999565
2026-03-22,0.999858021736145,0.9999422
2026-03-23,0.9998959898948668,0.99990183
2026-03-24,0.9996020197868348,0.99988645
2026-03-25,0.9996160268783567,0.99981505
2026-03-26,0.9994829893112184,0.9997534
2026-03-27,0.9993500113487244,0.9996832
2026-03-28,0.9991959929466248,0.9996033
2026-03-29,0.9992290139198304,0.9995119
2026-03-30,0.999123990535736,0.99945116
2026-03-31,0.999023973941803,0.999397
2026-04-01,0.9998000264167786,0.9993416
2026-04-02,0.999891996383667,0.9994625
2026-04-03,0.9998040199279784,0.9996374
2026-04-04,0.9998440146446228,0.99976665
2026-04-05,0.9995999932289124,0.99985325
2026-04-06,0.9997410178184508,0.99984133
2026-04-07,0.9996160268783567,0.9998317
2026-04-08,0.9999399781227112,0.99979275
2026-04-09,0.9999679923057557,0.99982935
2026-04-10,1.000236988067627,0.9998842
2026-04-11,1.0002009868621826,0.9999944
2026-04-12,0.9999629855155944,1.0000796
2026-04-13,1.000239014625549,1.0000707
2026-04-14,1.0002299547195437,1.0001032
2026-04-15,1.000025987625122,1.0001317
2026-04-16,1.0000669956207275,1.0000976
2026-04-17,1.0002529621124268,1.0000652
2026-04-18,1.0002870559692385,1.0000879
2026-04-19,1.0001980066299438,1.000128
2026-04-20,1.0002529621124268,1.0001389
2026-04-21,1.0001649856567385,1.0001516
2026-04-22,1.0001920461654663,1.0001376
2026-04-23,1.0004080533981323,1.0001266
2026-04-24,1.000241994857788,1.0001746
2026-04-25,1.0001670122146606,1.0001816
2026-04-26,1.00029194355011,1.0001558
2026-04-27,0.9998890161514282,1.00016
2026-04-28,0.9999020099639891,1.0000685
2026-04-29,0.9995589852333068,0.9999836
2026-04-30,0.9996039867401123,0.99984473
2026-05-01,0.9998049736022948,0.99974525
2026-05-02,0.9997479915618896,0.9997338
2026-05-03,0.9997779726982116,0.9997426
2026-05-04,0.9997770190238952,0.9997658
2026-05-05,0.9998319745063782,0.99978864
2026-05-06,0.9998779892921449,0.9998189
2026-05-07,0.9997979998588562,0.99985397
2026-05-08,0.9998760223388672,0.9998613
2026-05-09,0.9997239708900452,0.99987614
2026-05-10,0.9998509883880616,0.99985194
2026-05-11,0.9997900128364564,0.9998526
2026-05-12,0.9997490048408508,0.99984527
2026-05-13,0.9995499849319458,0.99982834
2026-05-14,0.9997419714927672,0.9997675
2026-05-15,0.9993410110473632,0.99975526
2026-05-16,0.9994680285453796,0.9996709
2026-05-17,0.9994000196456908,0.9996187
2026-05-18,0.9993209838867188,0.9995764
2026-05-19,0.9990440011024476,0.9995339
2026-05-20,0.9989979863166808,0.9994467
2026-05-21,0.999032974243164,0.9993619
2026-05-22,0.998808979988098,0.9993083
2026-05-23,0.9988340139389038,0.9992371
